order_id,amount,currency,order_date,customer_ref,status,razorpay_payment_id,merchant
ORD10031,13865.02,INR,2026-08-17,CUST24833,paid,pay_GEp7CgQ0PBQFI1,Muni-Chada
ORD10059,5480.14,INR,2026-08-02,CUST78136,paid,pay_jAdTdlzC5T4uUh,Chaudry Ltd
ORD10003,3120.25,INR,2026-08-18,CUST40434,paid,pay_J0RlgLKOmxgJTe,Lanka-Srinivas
ORD10054,232.88,INR,2026-08-02,CUST16470,paid,pay_oK6cPTt9iOqHOB,"Edwin, Varty and Bajaj"
ORD10068,7484.8,INR,2026-08-10,CUST74303,paid,pay_rxqVqmCplppjs4,Wable LLC
ORD10020,8283.53,INR,2026-08-19,CUST71350,paid,pay_A1id6Vw5DQL05H,Bala PLC
ORD10026,8098.43,INR,2026-08-12,CUST94654,paid,pay_xbvJDCTbyvHNsG,Chand-Lal
ORD10063,11707.46,INR,2026-08-02,CUST08127,paid,pay_qmVe5Mvxrv99Nc,"Peri, Ganesh and Parekh"
ORD10050,2458.14,INR,2026-08-18,CUST31343,paid,pay_xqZKm4bV3AyAVH,Walia PLC
ORD10014,21609.46,INR,2026-08-21,CUST91252,paid,pay_2qHx6kwXoIIXGv,"Narayan, Kapoor and Hayer"
ORD10009,3951.2,INR,2026-08-06,CUST86314,paid,pay_oaF1LlqsajAIxN,Rattan Ltd
ORD10022,13361.01,INR,2026-08-17,CUST63241,paid,pay_YXg4JdpmrcXgGC,Iyengar PLC
ORD10067,6768.3,INR,2026-08-03,CUST11021,paid,pay_ngAFTCloiADN5R,Parekh-Balakrishnan
ORD10021,13181.96,INR,2026-08-05,CUST02452,paid,pay_3CXlMaXZjljENU,Mammen Group
ORD10037,3653.83,inr,2026-08-17,CUST68650,paid,pay_WGK10Zb0RLZ5TR,Hari-Padmanabhan
ORD10045,21008.95,INR,2026-08-11,CUST15735,paid,pay_87mTa5Vsqxezy3,Palla-Patla
ORD10019,729.64,INR,2026-08-05,CUST95207,paid,pay_PgHV7iB3m03nbq,Kannan Inc
